ID,NAME,VALUE,DATE,DOUBLED_VALUE,SQUARED_VALUE
ID0001,ITEM1,841.0,12/02/2025,1682.0,707281.0
ID0002,ITEM2,863.0,02/15/2026,1726.0,744769.0
ID0003,ITEM3,427.0,08/01/2025,854.0,182329.0
ID0004,ITEM4,113.0,04/20/2025,226.0,12769.0
ID0005,ITEM5,194.0,11/09/2025,388.0,37636.0
ID0006,ITEM6,433.0,06/04/2025,866.0,187489.0
ID0007,ITEM7,727.0,11/23/2025,1454.0,528529.0
ID0008,ITEM8,98.0,06/10/2025,196.0,9604.0
ID0009,ITEM9,636.0,08/25/2025,1272.0,404496.0
ID0010,ITEM10,157.0,04/08/2025,314.0,24649.0
ID0011,ITEM11,832.0,02/12/2026,1664.0,692224.0
ID0012,ITEM12,644.0,04/21/2025,1288.0,414736.0
ID0013,ITEM13,575.0,07/18/2025,1150.0,330625.0
ID0014,ITEM14,834.0,05/08/2025,1668.0,695556.0
ID0015,ITEM15,369.0,11/14/2025,738.0,136161.0
ID0016,ITEM16,437.0,06/14/2025,874.0,190969.0
ID0017,ITEM17,710.0,10/07/2025,1420.0,504100.0
ID0018,ITEM18,343.0,09/20/2025,686.0,117649.0
ID0019,ITEM19,15.0,09/10/2025,30.0,225.0
ID0020,ITEM20,139.0,02/13/2026,278.0,19321.0
ID0021,ITEM21,299.0,07/11/2025,598.0,89401.0
ID0022,ITEM22,833.0,09/24/2025,1666.0,693889.0
ID0023,ITEM23,165.0,12/23/2025,330.0,27225.0
ID0024,ITEM24,410.0,01/30/2026,820.0,168100.0
ID0025,ITEM25,938.0,07/16/2025,1876.0,879844.0
ID0026,ITEM26,543.0,09/26/2025,1086.0,294849.0
ID0027,ITEM27,852.0,04/24/2025,1704.0,725904.0
ID0028,ITEM28,909.0,06/21/2025,1818.0,826281.0
ID0029,ITEM29,325.0,02/28/2025,650.0,105625.0
ID0030,ITEM30,917.0,03/30/2025,1834.0,840889.0
ID0031,ITEM31,782.0,06/19/2025,1564.0,611524.0
ID0032,ITEM32,371.0,01/27/2026,742.0,137641.0
ID0033,ITEM33,279.0,05/28/2025,558.0,77841.0
ID0034,ITEM34,442.0,04/12/2025,884.0,195364.0
ID0035,ITEM35,870.0,12/05/2025,1740.0,756900.0
ID0036,ITEM36,401.0,01/09/2026,802.0,160801.0
ID0037,ITEM37,406.0,08/05/2025,812.0,164836.0
ID0038,ITEM38,191.0,02/20/2026,382.0,36481.0
ID0039,ITEM39,721.0,01/11/2026,1442.0,519841.0
ID0040,ITEM40,624.0,04/21/2025,1248.0,389376.0
ID0041,ITEM41,193.0,09/14/2025,386.0,37249.0
ID0042,ITEM42,563.0,11/15/2025,1126.0,316969.0
ID0043,ITEM43,965.0,04/25/2025,1930.0,931225.0
ID0044,ITEM44,430.0,06/25/2025,860.0,184900.0
ID0045,ITEM45,627.0,12/19/2025,1254.0,393129.0
ID0046,ITEM46,581.0,06/16/2025,1162.0,337561.0
ID0047,ITEM47,971.0,09/25/2025,1942.0,942841.0
ID0048,ITEM48,982.0,10/03/2025,1964.0,964324.0
ID0049,ITEM49,960.0,03/14/2025,1920.0,921600.0
ID0050,ITEM50,660.0,01/06/2026,1320.0,435600.0
